,type,date,title,author,url,is_twitter,raw_desc,truth_value,tags,is_blog_desc,is_blog_cat,is_blog,annotated_column,raw_url,twitter_handle,n_followers,problem
3453,Bloggers,11/8/21,"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""",Tom Kertscher,https://www.politifact.com/factchecks/2021/nov/08/blog-posting/no-proof-covid-19-vaccinated-uk-are-developing-imm/,0,"stated on October 30, 2021 in a Facebook post:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,,https://theexpose.uk/2021/10/30/gov-reports-show-fully-vaccinated-and-children-developing-ade/?fbclid=IwAR2evMtbNGYYjIEhSV3WaXP4i8xzK52rvmtM5lx8XwBNDEDHGyo-dngCz0M,exthepose,7760,0
3454,Bloggers,11/8/21,"“CEO of Pfizer arrested, charged with fraud.”",Ciara O'Rourke,https://www.politifact.com/factchecks/2021/nov/08/blog-posting/no-pfizer-ceo-albert-bourla-wasnt-arrested-fraud-c/,0,"stated on November 5, 2021 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.md/2szBE,redvoicenews,47541,0
3545,Bloggers,10/22/21,"Pathologists found ""a host of non-biological components ... in the blood of vaccinated people,” including graphene chips and nanochips.",Monique Curet,https://www.politifact.com/factchecks/2021/oct/22/blog-posting/covid-19-vaccines-do-not-include-non-biological-co/,0,"stated on September 26, 2021 in a post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.md/5NJaO,,,1
3583,X posts,10/14/21,The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/oct/14/tweets/nearly-all-employees-complied-vaccine-mandate-unit/,1,"stated on October 7, 2021 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://archive.is/z9sYM/again?url=https://twitter.com/JackPosobiec/status/1446266547337670657,JackPosobiec,2394648,0
3587,Bloggers,10/14/21,“Pfizer admits there’s no vaccine approved by FDA.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/oct/14/blog-posting/no-pfizer-hasnt-admitted-its-vaccine-isnt-fda-appr/,0,"stated on October 10, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://archive.is/Mju2g,,,1
3591,Bloggers,10/13/21,“Europe COMPLETELY BANS the Moderna vaccine for young people.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/oct/13/blog-posting/no-europe-hasnt-completely-banned-modernas-covid-1/,0,"stated on October 8, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://archive.is/lCZDq,,,1
3592,Kimberly Klacik,10/13/21,An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.,Bill McCarthy,https://www.politifact.com/factchecks/2021/oct/13/kimberly-klacik/conservative-commentator-uses-outdated-photo-botch/,1,"stated on October 13, 2021 in a tweet:",FALSE,"['Corrections and Updates', 'Economy', 'Food', 'Pundits', 'Facebook Fact-checks', 'PunditFact', 'Coronavirus', 'Ask PolitiFact', 'Kimberly Klacik']",0,0,0,not_covid,,,,1
3595,Viral image,10/13/21,The Pfizer COVID-19 vaccines contain a deadly parasite.,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/oct/13/viral-image/no-isnt-picture-parasite-pfizer-covid-19-vaccine/,0,"stated on October 10, 2021 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Viral image']",1,0,1,cant_find_account,https://www.instagram.com/p/CU3rM3mleQw/?utm_source=ig_embed&ig_rid=1601d40f-69ce-48e7-9e50-5bcdc5dc92e2,,,1
3596,Bloggers,10/13/21,"“Vaxxed Delta pilot dies in-flight, emergency landing required.”",Ciara O'Rourke,https://www.politifact.com/factchecks/2021/oct/13/blog-posting/no-vaccinated-delta-pilot-didnt-die-mid-flight-and/,0,"stated on October 11, 2021 in a blog post:",FALSE,"['Transportation', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.is/RO1bi,redvoicenews,47541,0
3604,X posts,10/11/21,"“Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.”",Bill McCarthy,https://www.politifact.com/factchecks/2021/oct/11/tweets/southwest-airline-pilots-union-deny-claims-anti-va/,1,"stated on October 10, 2021 in a tweet:",FALSE,"['Transportation', 'Facebook Fact-checks', 'Florida', 'Coronavirus', 'X posts']",0,0,0,,https://archive.is/7TTzh#selection-2979.0-2979.143,AlexeiArora,31827,0
3605,Bloggers,10/11/21,"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",Gabrielle Settles,https://www.politifact.com/factchecks/2021/oct/11/blog-posting/bill-gates-didnt-say-he-wanted-use-vaccines-reduce/,0,"stated on October 7, 2021 in an article:",FALSE,"['Environment', 'Children', 'Climate Change', 'Energy', 'Health Care', 'Population', 'Public Health', 'Science', 'Coronavirus', 'Bloggers']",0,1,1,,https://techstartups.com/2021/10/06/bill-gates-talked-using-vaccines-control-population-growth-unedited-2010-ted-talk-video/,TechStartupscom,380,0
3613,X posts,10/7/21,"“CDC numbers” show that among children, the Pfizer and Moderna COVID-19 vaccines have a death rate “174 times higher” than the COVID-19 death rate.",Tom Kertscher,https://www.politifact.com/factchecks/2021/oct/07/tweets/cdc-does-not-show-higher-death-rate-vaccines-covid/,1,"stated on October 1, 2021 in a tweet:",pants-fire,"['Children', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Ask PolitiFact', 'X posts']",0,0,0,,https://archive.is/YhXHv,AdrianNormanDC,73800,0
3634,Bloggers,10/1/21,"""Millions have died from COVID injections.""",Gabrielle Settles,https://www.politifact.com/factchecks/2021/oct/01/blog-posting/report-shares-wildly-unfounded-claims-covid-19-vac/,0,"stated on September 26, 2021 in a website:",pants-fire,"['Public Health', 'Science', 'Coronavirus', 'Bloggers']",0,1,1,,https://stopworldcontrol.com/report/,davidjsorensen,4421,0
3640,Bloggers,9/30/21,"Norway decided “that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.”",Noah Y. Kim,https://www.politifact.com/factchecks/2021/sep/30/blog-posting/norway-public-health-officials-did-not-say-coronav/,0,"stated on September 27, 2021 in Articles:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.is/ou8rH#,,,1
3642,Bloggers,9/30/21,"""Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.",Tom Kertscher,https://www.politifact.com/factchecks/2021/sep/30/blog-posting/drug-pfizer-studying-covid-19-not-suspiciously-sim/,0,"stated on September 28, 2021 in a blog post:",FALSE,"['Drugs', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.is/yld6c,zerohedge,1770870,0
3678,Steve Kirsch,9/22/21,"""Pfizer vaccine kills more people than it saves.""",Tom Kertscher,https://www.politifact.com/factchecks/2021/sep/22/steve-kirsch/no-evidence-pfizer-vaccine-causes-deaths/,1,"stated on September 14, 2021 in a tweet:",pants-fire,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Steve Kirsch']",0,0,0,,https://twitter.com/stkirsch/status/1437912807442321413,stkirsch,450066,0
3681,Bloggers,9/21/21,“The CDC and county health officials have obtained 2020 Census records to enhance their vaccination enforcement protocols.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/sep/21/blog-posting/no-health-officials-arent-using-census-data-target/,0,"stated on September 21, 2021 in a blog post:",pants-fire,"['Census', 'Corrections and Updates', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://archive.is/7MJT7#selection-331.0-331.375,,,1
3732,Bloggers,9/9/21,"“Germany halts all Covid-19 vaccines, says they are unsafe and no longer recommended!!”",Ciara O'Rourke,https://www.politifact.com/factchecks/2021/sep/09/blog-posting/no-germany-hasnt-blocked-all-covid-19-vaccines-ove/,0,"stated on August 27, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.is/xXAoL,beforeitsnews1,306,0
3739,Bloggers,9/7/21,“Bill Gates calls for the withdrawal of all Covid-19 Vaccines; ‘The vaccines are far more dangerous than anyone imagined.’”,Madison Czopek,https://www.politifact.com/factchecks/2021/sep/07/blog-posting/no-bill-gates-didnt-call-withdrawal-all-covid-19-v/,0,"stated on August 31, 2021 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.vn/0h3R2,maravipost,14922,0
3793,Candace Owens,8/20/21,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”,Gabrielle Settles,https://www.politifact.com/factchecks/2021/aug/20/candace-owens/cdcs-not-going-put-people-high-risk-catching-covid/,1,"stated on August 9, 2021 in in a Twitter post:",FALSE,"['National', 'Public Health', 'Coronavirus', 'Candace Owens']",0,0,0,,https://archive.ph/BdfX8,RealCandaceO,4558915,0
3837,Jack Posobiec,8/12/21,"The White House plans to call for lockdowns due to the delta variant and is “aiming for late 2nd week of August, per WH official.”",Amy Sherman,https://www.politifact.com/factchecks/2021/aug/12/jack-posopiec/conservative-pundits-say-biden-and-democrats-want-/,1,"stated on July 29, 2021 in a tweet:",FALSE,"['National', 'Economy', 'Facebook Fact-checks', 'Coronavirus', 'Jack Posobiec']",0,0,0,,https://twitter.com/JackPosobiec/status/1420956806772371459,JackPosobiec,2394648,0
3875,Rebecca Kleefisch,8/4/21,Says Gov. Tony Evers has declared Wisconsin “permanently closed” for business.,Madeline Heim,https://www.politifact.com/factchecks/2021/aug/04/rebecca-kleefisch/no-evers-didnt-say-wisconsin-was-permanently-close/,1,"stated on July 20, 2021 in Twitter:",FALSE,"['Economy', 'Small Business', 'Wisconsin', 'Coronavirus', 'Rebecca Kleefisch']",0,0,0,elected_rep and quip,https://twitter.com/RebeccaforReal/status/1417541589736595461,RebeccaforReal,20883,0
3940,Bobby Scott,7/22/21,“Every Republican in Congress voted to defund the police when they voted against the American Rescue Plan.”,Warren Fiske,https://www.politifact.com/factchecks/2021/jul/22/bobby-scott/scott-falsely-accuses-gop-defunding-police/,1,"stated on July 12, 2021 in a tweet.:",FALSE,"['Public Safety', 'Stimulus', 'Coronavirus', 'Virginia', 'Bobby Scott']",0,0,0,cant_find_original,,BobbyScott,44616,1
3943,Bloggers,7/21/21,“Canada prohibits all vaxxed pilots from flying.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/jul/21/blog-posting/no-canada-isnt-banning-pilots-flying-if-they-get-c/,0,"stated on July 11, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://rense.com/general96/canada-prohibits-all-vaxxed-pilots-from-flying.php?fbclid=IwAR1vpmHZSmGbD-pFkW50kvmyADilfXGXj4dHdNObX0JXeFbpvZDz8kKcLWk,,,1
4045,Bloggers,6/25/21,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,Samantha Putterman,https://www.politifact.com/factchecks/2021/jun/25/blog-posting/scientists-developing-mrna-vaccines-outbreak-isnt-/,0,"stated on June 14, 2021 in a story:",FALSE,"['National', 'Public Health', 'Science', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.is/JzSiP,,,1
4082,Facebook posts,6/17/21,Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,Tom Kertscher,https://www.politifact.com/factchecks/2021/jun/17/facebook-posts/no-sign-spike-proteins-covid-19-vaccines-including/,1,"stated on June 14, 2021 in a tweet:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",0,0,0,scientist,https://archive.is/fhz18,RealDrJaneRuby,58068,0
4088,Charlie Kirk,6/15/21,Says Anthony Fauci will make millions off new book.,Samantha Putterman,https://www.politifact.com/factchecks/2021/jun/15/charlie-kirk/fauci-isnt-making-millions-upcoming-national-geogr/,1,"stated on June 1, 2021 in a tweet:",FALSE,"['National', 'Facebook Fact-checks', 'Coronavirus', 'Charlie Kirk']",0,0,0,,https://archive.ph/sOypa,charliekirk11,2720331,0
4140,X posts,6/3/21,"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",Michael Majchrowicz,https://www.politifact.com/factchecks/2021/jun/03/tweets/cdc-did-not-change-its-criteria-what-considered-br/,1,"stated on May 24, 2021 in Twitter:",FALSE,"['Coronavirus', 'X posts']",0,0,0,nurse,http://web.archive.org/web/20210601160016/https://twitter.com/erin_bsn/status/1396854077460463620?s=20,erin_bsn,75924,0
